Country ,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Finland,Western Europe,1,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.477857262,0.159670442,2.762835026
Denmark,Western Europe,2,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.495260328,0.242793396,2.432740688
Switzerland,Western Europe,3,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.407945901,0.269055754,2.35026741
Iceland,Western Europe,4,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.144540772,0.362330228,2.460688114
Norway,Western Europe,5,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.434100568,0.287985086,2.168266296
Netherlands,Western Europe,6,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.368569762,0.336317569,2.352117062
Sweden,Western Europe,7,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.442066371,0.272827893,2.246299267
New Zealand,Australia and New Zealand,8,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.461268276,0.325726211,2.128108025
Austria,Western Europe,9,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.281256139,0.255509764,2.398446083
Luxembourg,Western Europe,10,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.367041469,0.19595392,2.153700352
Canada,North America,11,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.351701856,0.28152892,2.195269108
Australia,Australia and New Zealand,12,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.335996419,0.324973613,2.129804134
United Kingdom,Western Europe,13,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.322601646,0.373433441,2.236721992
Israel,Middle East and Northern Africa,14,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.09989845,0.266861796,2.713358402
Costa Rica,Latin America and Caribbean,15,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.096362092,0.131266311,2.953135014
Ireland,Western Europe,16,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.373433262,0.295426995,1.943878174
Germany,Western Europe,17,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.309362292,0.252037704,2.295249462
United States,North America,18,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.152284741,0.298143059,2.344124794
Czech Republic,Central and Eastern Europe,19,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.049803223,0.046325929,2.796808243
Belgium,Western Europe,20,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.208724052,0.146966159,2.348626614
United Arab Emirates,Middle East and Northern Africa,21,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.220213518,0.28065598,2.166965961
Malta,Western Europe,22,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.178864077,0.341180831,1.952012062
France,Western Europe,23,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.227303237,0.112607703,2.053198338
Mexico,Latin America and Caribbean,24,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083133668,0.083094485,2.662540197
Uruguay,Latin America and Caribbean,26,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.193425074,0.132143691,2.167276382
Saudi Arabia,Middle East and Northern Africa,27,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.163322315,0.087440684,2.203118801
Spain,Western Europe,28,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.109579779,0.16530548,1.997088432
Guatemala,Latin America and Caribbean,29,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.0983603,0.170611665,2.882723093
Italy,Western Europe,30,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.040145598,0.170266211,2.249505997
Singapore,Southeastern Asia,31,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.533162236,0.218770906,0.937031746
Brazil,Latin America and Caribbean,32,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.106518604,0.131674588,2.571860313
Slovenia,Central and Eastern Europe,33,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.076516323,0.145701498,1.888586521
El Salvador,Latin America and Caribbean,34,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.117030352,0.1189363,2.937191725
